lambda_base,n_seeds,mean_node_expansions,expansions_ci_low,expansions_ci_high,n_seeds_ratio,mean_competitive_ratio,ratio_ci_low,ratio_ci_high
0.0,5,586.22,333.66999999999996,931.2362499999982,5,1.141899263747535,1.0349208049801528,1.2979059961190338
0.2,5,477.40999999999997,247.55,789.5899999999999,5,1.1416940087274896,1.0345102949400626,1.2974897388658275
0.4,5,364.075,169.845,636.4575,5,1.1417066453552347,1.0345355681955533,1.2974826730129454
0.6,5,276.7075,112.99250000000002,517.2574999999999,5,1.1417066453552347,1.0345355681955533,1.2974826730129454
0.8,5,216.38999999999996,53.625,464.9374999999999,5,1.1416341214885528,1.0345355681955533,1.2974101491462633
1.0,5,187.26000000000002,16.095,450.5675,5,1.1416460426577788,1.0345860113161927,1.2974220703154895
