predictor_variant,graph_size,latency_ms
base,1000,49.09006660003191
base,2000,52.04093620000094
base,5000,151.70547519999977
base,10000,400.483538733306
base,20000,897.8608943999612
base,32696,1513.3408639333236
materialized,1000,31.05324999998326
materialized,2000,46.36556366667719
materialized,5000,110.0228610666818
materialized,10000,261.9952027333208
materialized,20000,519.1805527333145
materialized,32696,1021.0146164666791
